GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
elis-core,co.com.elis.core.tax,Tax.TaxBuilder,0,63,0,2,0,18,0,8,0,7
elis-core,co.com.elis.core.tax,TaxTotal,97,84,7,1,15,20,9,8,5,8
elis-core,co.com.elis.core.tax,TaxTotalList,53,190,0,12,10,40,9,17,9,11
elis-core,co.com.elis.core.tax,Tax,3,83,0,2,1,17,1,9,1,8
elis-core,co.com.elis.core.tax,TaxType,47,85,7,5,9,20,7,8,2,7
elis-core,co.com.elis.core.document.allowance,AllowanceCharge,18,61,0,2,7,20,2,8,2,7
elis-core,co.com.elis.core.document.payment,PaymentData,21,0,0,0,8,0,4,0,4,0
elis-core,co.com.elis.core.document.payment,PrepaidPayment,21,0,0,0,8,0,4,0,4,0
elis-core,co.com.elis.core.document.payment,PaymentMean,39,0,0,0,13,0,11,0,11,0
elis-core,co.com.elis.core.document.payment,PaymentData.PaymentDataBuilder,31,26,3,3,7,6,9,2,6,2
elis-core,co.com.elis.core.document.payment,PaymentMean.PaymentMeansBuilder,97,0,0,0,27,0,13,0,13,0
elis-core,co.com.elis.core.person.validation,RepresentationTypeValidator,2,30,1,3,0,7,1,4,0,3
elis-core,co.com.elis.core.person.validation,ObligationsValidator,0,17,0,4,0,4,0,4,0,2
elis-core,co.com.elis.core.document,ExchangeRate,21,14,0,0,8,5,4,1,4,1
elis-core,co.com.elis.core.document,InvoicingRange.InvoiceRangeBuilder,0,93,0,2,0,21,0,9,0,8
elis-core,co.com.elis.core.document,InvoicingRange,0,39,0,0,0,14,0,7,0,7
elis-core,co.com.elis.core.document,ValidityPeriod,37,0,0,0,9,0,6,0,6,0
elis-core,co.com.elis.core.document,OtherRelatedData,6,27,0,0,2,10,2,4,2,4
elis-core,co.com.elis.core.document,CalculatedCreditNoteBuilder.CalculatedMandatoryContext,8,13,0,0,1,5,1,3,1,3
elis-core,co.com.elis.core.document,PopulatedInvoiceBuilder.PopulatedOptionalContext,9,25,0,0,2,7,1,4,1,4
elis-core,co.com.elis.core.document,PopulatedInvoiceBuilder.PopulatedMandatoryContext,0,43,0,0,0,11,0,7,0,7
elis-core,co.com.elis.core.document,PhysicalLocation,37,12,0,0,12,4,12,2,12,2
elis-core,co.com.elis.core.document,InvoiceType,49,48,4,0,5,7,6,2,4,2
elis-core,co.com.elis.core.document,PopulatedCreditNoteBuilder,6,72,1,1,1,11,2,3,1,3
elis-core,co.com.elis.core.document,InvoiceDate,0,50,0,0,0,15,0,5,0,5
elis-core,co.com.elis.core.document,CalculatedInvoiceBuilder.CalculatedMandatoryContext,0,27,0,0,0,7,0,5,0,5
elis-core,co.com.elis.core.document,CreditNote,24,41,1,1,3,11,2,4,1,4
elis-core,co.com.elis.core.document,InvoicingRangePeriod,19,9,0,0,6,4,3,1,3,1
elis-core,co.com.elis.core.document,CalculatedDebitNoteBuilder.CalculatedMandatoryContext,7,14,0,0,2,4,1,3,1,3
elis-core,co.com.elis.core.document,Header,6,51,0,0,2,19,2,6,2,6
elis-core,co.com.elis.core.document,CalculatedInvoiceBuilder.CalculatedOptionalContext,0,11,0,0,0,4,0,3,0,3
elis-core,co.com.elis.core.document,DebitNote,24,41,1,1,3,11,2,4,1,4
elis-core,co.com.elis.core.document,AbstractNoteBuilder,0,15,0,0,0,3,0,2,0,2
elis-core,co.com.elis.core.document,AbstractNoteBuilder.OptionalContext,0,4,0,0,0,2,0,1,0,1
elis-core,co.com.elis.core.document,PopulatedDebitNoteBuilder.PopulatedMandatoryContext,7,38,0,0,2,10,1,6,1,6
elis-core,co.com.elis.core.document,AffectedInvoice,9,22,0,0,3,7,3,2,3,2
elis-core,co.com.elis.core.document,PopulatedDebitNoteBuilder.PopulatedOptionalContext,29,25,0,0,7,8,3,4,3,4
elis-core,co.com.elis.core.document,CalculatedCreditNoteBuilder.CalculatedOptionalContext,22,0,0,0,7,0,4,0,4,0
elis-core,co.com.elis.core.document,Document,0,37,0,0,0,13,0,7,0,7
elis-core,co.com.elis.core.document,CalculatedDebitNoteBuilder,6,93,0,0,1,12,1,4,1,4
elis-core,co.com.elis.core.document,PopulatedDebitNoteBuilder,6,72,1,1,1,11,2,3,1,3
elis-core,co.com.elis.core.document,PopulatedCreditNoteBuilder.PopulatedMandatoryContext,7,39,0,0,2,10,1,6,1,6
elis-core,co.com.elis.core.document,Invoice,19,196,2,6,0,38,5,13,3,11
elis-core,co.com.elis.core.document,PopulatedInvoiceBuilder,6,77,1,3,1,13,2,4,1,3
elis-core,co.com.elis.core.document,MonetaryTotal,32,106,0,4,10,28,3,9,3,7
elis-core,co.com.elis.core.document,PopulatedCreditNoteBuilder.PopulatedOptionalContext,30,25,0,0,7,8,3,4,3,4
elis-core,co.com.elis.core.document,CalculatedInvoiceBuilder,6,87,0,0,1,12,1,3,1,3
elis-core,co.com.elis.core.document,DocumentNumber,0,26,0,0,0,7,0,4,0,4
elis-core,co.com.elis.core.document,PhysicalLocation.PhysicalLocationBuilder,79,25,0,0,22,8,11,4,11,4
elis-core,co.com.elis.core.document,AbstractNoteBuilder.MandatoryContext,0,20,0,0,0,6,0,3,0,3
elis-core,co.com.elis.core.document,CalculatedCreditNoteBuilder,6,93,0,0,1,12,1,4,1,4
elis-core,co.com.elis.core.document,CalculatedDebitNoteBuilder.CalculatedOptionalContext,11,11,0,0,3,4,2,2,2,2
elis-core,co.com.elis.core.document,DocumentType,9,39,0,0,0,4,2,2,2,2
elis-core,co.com.elis.core.person,SupplierParty,0,9,0,0,0,2,0,1,0,1
elis-core,co.com.elis.core.person,JuridicPersonRepresentationType,77,291,6,0,8,29,6,6,3,6
elis-core,co.com.elis.core.person,AccountType,46,125,4,0,4,15,5,3,3,3
elis-core,co.com.elis.core.person,CustomUserCode,22,785,0,0,1,67,2,6,2,6
elis-core,co.com.elis.core.person,NaturalPersonName,15,18,0,0,6,7,2,3,2,3
elis-core,co.com.elis.core.person,Contact,12,39,0,0,4,13,4,5,4,5
elis-core,co.com.elis.core.person,JuridicPersonName,0,24,0,0,0,10,0,4,0,4
elis-core,co.com.elis.core.person,PersonName,0,8,0,0,0,2,0,2,0,2
elis-core,co.com.elis.core.person,PaymentReceptor,9,0,0,0,2,0,1,0,1,0
elis-core,co.com.elis.core.person,Contact.ContactBuilder,17,39,0,0,6,9,3,4,3,4
elis-core,co.com.elis.core.person,Person,0,95,0,6,0,22,0,13,0,10
elis-core,co.com.elis.core.person,SupplierParty.SupplierPartyBuilder,0,46,1,1,0,10,1,4,0,4
elis-core,co.com.elis.core.person,ReceiverParty,0,9,0,0,0,2,0,1,0,1
elis-core,co.com.elis.core.person,PersonType,47,48,4,0,4,7,5,2,3,2
elis-core,co.com.elis.core.person,EstablishmentType,72,330,6,0,8,32,6,6,3,6
elis-core,co.com.elis.core.person,Person.PersonBuilder,38,86,0,0,10,23,5,8,5,8
elis-core,co.com.elis.core.person,NaturalPersonRepresentationType,77,356,6,0,8,34,6,6,3,6
elis-core,co.com.elis.core.person,IdentityDocument,18,39,0,0,7,15,2,5,2,5
elis-core,co.com.elis.core.person,PersonBuilder,0,27,0,0,0,6,0,6,0,6
elis-core,co.com.elis.core.person,DIANCharacterization,0,27,0,0,0,10,0,5,0,5
elis-core,co.com.elis.core.person,Obligation,72,512,6,0,8,46,6,6,3,6
elis-core,co.com.elis.core.person,ReceiverParty.ReceiverPartyBuilder,0,39,0,0,0,7,0,4,0,4
elis-core,co.com.elis.core.tax.validation,TaxListValidator,0,50,1,13,0,13,1,8,0,2
elis-core,co.com.elis.core.tax.validation,ItemTaxValidator,1,46,1,3,0,8,1,3,0,2
elis-core,co.com.elis.core.tax.validation,TaxTypeValidator,0,26,0,4,0,7,0,4,0,2
elis-core,co.com.elis.core.tax.validation,TaxTotalValidator,0,30,0,4,0,6,0,4,0,2
elis-core,co.com.elis.core.software,Software,45,74,0,0,14,17,6,10,6,10
